pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
2,11,-0.0210062,3.34001,-0.145454,397.026,625.35,-0.183929,0.154297
2,12,-0.0210062,3.34001,-0.145454,334.113,238.523,0.261749,0.0539246
2,13,-0.0210062,3.34001,-0.145454,328.548,393.133,-0.138336,0.19101
2,14,-0.0210062,3.34001,-0.145454,323.458,548.455,-0.157166,0.192017
2,15,-0.0210062,3.34001,-0.145454,318.455,704.717,-0.184723,0.330994
2,16,-0.0210062,3.34001,-0.145454,261.355,163.859,0.0832825,0.132278
2,17,-0.0210062,3.34001,-0.145454,255.934,317.499,0.0494385,0.110657
2,18,-0.0210062,3.34001,-0.145454,250.507,471.975,-0.0926666,0.0549011
2,19,-0.0210062,3.34001,-0.145454,245.273,627.45,-0.143387,0.176208
2,20,-0.0210062,3.34001,-0.145454,183.832,242.447,0.158203,0.00431824
2,21,-0.0210062,3.34001,-0.145454,178.201,396.214,0.0328064,0.0397949
2,22,-0.0210062,3.34001,-0.145454,172.766,550.936,-0.00672913,0.18866
2,23,-0.0210062,3.34001,-0.145454,167.321,706.504,-0.165939,0.389038
2,24,-0.0210062,3.34001,-0.145454,112.206,168.099,0.143517,-0.0128632
2,25,-0.0210062,3.34001,-0.145454,106.428,321.113,0.0987091,0.0821838
2,26,-0.0210062,3.34001,-0.145454,100.647,474.924,-0.0675354,0.110718
2,27,-0.0210062,3.34001,-0.145454,95.1062,629.517,-0.111763,0.107239
3,0,-0.0224067,3.33946,-0.148544,528.649,421.944,0.149353,-0.30249
3,1,-0.0224067,3.33946,-0.148544,524.064,578.162,0.345093,-0.175903
3,2,-0.0224067,3.33946,-0.148544,519.17,735.289,0.158813,0.0507202
3,3,-0.0224067,3.33946,-0.148544,514.348,893.04,-0.0305786,0.139221
3,4,-0.0224067,3.33946,-0.148544,449.846,501.436,0.200165,0.00610352
3,5,-0.0224067,3.33946,-0.148544,444.891,657.521,0.153534,-0.0438232
3,6,-0.0224067,3.33946,-0.148544,439.944,814.695,0.0328674,0.2146
3,7,-0.0224067,3.33946,-0.148544,435.095,972.566,-0.072937,0.434143
3,8,-0.0224067,3.33946,-0.148544,376.441,425.117,0.292908,0.00570679
3,9,-0.0224067,3.33946,-0.148544,371.163,580.54,0.130371,0.0701294
3,10,-0.0224067,3.33946,-0.148544,366.081,736.861,0.0746155,0.231323
3,11,-0.0224067,3.33946,-0.148544,360.896,893.805,-0.17453,0.259766
3,12,-0.0224067,3.33946,-0.148544,298.145,504.118,0.242401,0.155548
3,13,-0.0224067,3.33946,-0.148544,292.509,659.621,-0.16214,0.265259
3,14,-0.0224067,3.33946,-0.148544,287.416,815.792,-0.120422,0.268188
3,15,-0.0224067,3.33946,-0.148544,282.374,972.783,-0.125793,0.363647
3,16,-0.0224067,3.33946,-0.148544,225.401,428.297,0.0481262,0.249817
3,17,-0.0224067,3.33946,-0.148544,219.953,582.838,0.0419617,0.17395
3,18,-0.0224067,3.33946,-0.148544,214.504,738.174,-0.0686798,0.10022
3,19,-0.0224067,3.33946,-0.148544,209.273,894.455,-0.0663452,0.2229
3,20,-0.0224067,3.33946,-0.148544,147.907,506.702,0.174194,0.141174
3,21,-0.0224067,3.33946,-0.148544,142.224,661.303,0.0388031,0.0996094
3,22,-0.0224067,3.33946,-0.148544,136.802,816.931,0.0526733,0.317383
3,23,-0.0224067,3.33946,-0.148544,131.347,973.154,-0.0789948,0.408569
3,24,-0.0224067,3.33946,-0.148544,76.2898,431.146,0.14785,0.092865
3,25,-0.0224067,3.33946,-0.148544,70.4737,585.092,0.0942688,0.173889
3,26,-0.0224067,3.33946,-0.148544,64.7082,739.742,-0.0274506,0.172363
3,27,-0.0224067,3.33946,-0.148544,59.1959,895.118,-0.0153427,0.155396
4,0,-0.0217061,3.34021,-0.147233,724.43,421.914,0.255859,-0.370483
4,1,-0.0217061,3.34021,-0.147233,720.35,578.438,0.426025,-0.236023
4,2,-0.0217061,3.34021,-0.147233,715.936,735.859,0.205872,-0.0101929
4,3,-0.0217061,3.34021,-0.147233,711.616,893.987,0.0239868,0.163452
4,4,-0.0217061,3.34021,-0.147233,645.257,501.515,0.303772,-0.0802002
4,5,-0.0217061,3.34021,-0.147233,640.774,657.91,0.208923,-0.123657
4,6,-0.0217061,3.34021,-0.147233,636.32,815.474,0.0794678,0.222717
4,7,-0.0217061,3.34021,-0.147233,631.936,973.632,-0.0441895,0.429932
4,8,-0.0217061,3.34021,-0.147233,570.93,425.063,0.387634,-0.0343628
4,9,-0.0217061,3.34021,-0.147233,566.185,580.816,0.230042,0.0462036
4,10,-0.0217061,3.34021,-0.147233,561.536,737.459,0.097168,0.218567
4,11,-0.0217061,3.34021,-0.147233,556.796,894.758,-0.197205,0.294678
4,12,-0.0217061,3.34021,-0.147233,492.171,504.222,0.263489,0.138672
4,13,-0.0217061,3.34021,-0.147233,487.094,660.054,-0.0993958,0.257019
4,14,-0.0217061,3.34021,-0.147233,482.409,816.551,-0.147736,0.268616
4,15,-0.0217061,3.34021,-0.147233,477.812,973.873,-0.186737,0.38031
4,16,-0.0217061,3.34021,-0.147233,418.56,428.192,0.133453,0.210785
4,17,-0.0217061,3.34021,-0.147233,413.557,583.117,0.0482178,0.189453
4,18,-0.0217061,3.34021,-0.147233,408.571,738.814,-0.105865,0.14978
4,19,-0.0217061,3.34021,-0.147233,403.79,895.413,-0.139496,0.266724
4,20,-0.0217061,3.34021,-0.147233,340.586,506.767,0.192993,0.129761
4,21,-0.0217061,3.34021,-0.147233,335.387,661.778,0.0278625,0.161621
4,22,-0.0217061,3.34021,-0.147233,330.42,817.697,0.00274658,0.33728
4,23,-0.0217061,3.34021,-0.147233,325.406,974.344,-0.163605,0.52301
4,24,-0.0217061,3.34021,-0.147233,268.02,431.022,0.169189,0.0878296
4,25,-0.0217061,3.34021,-0.147233,262.73,585.365,0.119049,0.220642
4,26,-0.0217061,3.34021,-0.147233,257.389,740.366,-0.0796509,0.227173
4,27,-0.0217061,3.34021,-0.147233,252.323,896.091,-0.104462,0.21991
5,0,-0.0216821,3.34173,-0.14613,926.19,424.133,0.402649,-0.381775
5,1,-0.0216821,3.34173,-0.14613,922.492,580.991,0.483337,-0.2677
5,2,-0.0216821,3.34173,-0.14613,918.559,738.804,0.293518,-0.0010376
5,3,-0.0216821,3.34173,-0.14613,914.642,897.288,0.0828247,0.177673
5,4,-0.0216821,3.34173,-0.14613,846.534,503.87,0.370667,-0.0821838
5,5,-0.0216821,3.34173,-0.14613,842.51,660.673,0.27655,-0.078064
5,6,-0.0216821,3.34173,-0.14613,838.463,818.534,0.114624,0.208313
5,7,-0.0216821,3.34173,-0.14613,834.46,977.112,-0.0494385,0.480164
5,8,-0.0216821,3.34173,-0.14613,771.327,427.225,0.460693,0.00418091
5,9,-0.0216821,3.34173,-0.14613,766.986,583.288,0.240173,0.0269165
5,10,-0.0216821,3.34173,-0.14613,762.809,740.319,0.13269,0.222778
5,11,-0.0216821,3.34173,-0.14613,758.476,897.963,-0.183167,0.281189
5,12,-0.0216821,3.34173,-0.14613,692.126,506.457,0.318787,0.115326
5,13,-0.0216821,3.34173,-0.14613,687.461,662.688,-0.0872803,0.26062
5,14,-0.0216821,3.34173,-0.14613,683.194,819.585,-0.153442,0.30304
5,15,-0.0216821,3.34173,-0.14613,678.973,977.328,-0.23407,0.467468
5,16,-0.0216821,3.34173,-0.14613,617.615,430.193,0.190491,0.194458
5,17,-0.0216821,3.34173,-0.14613,613.055,585.506,0.0854492,0.180603
5,18,-0.0216821,3.34173,-0.14613,608.467,741.608,-0.114075,0.168274
5,19,-0.0216821,3.34173,-0.14613,604.054,898.627,-0.204285,0.329529
5,20,-0.0216821,3.34173,-0.14613,539.157,508.94,0.209717,0.144012
5,21,-0.0216821,3.34173,-0.14613,534.388,664.393,0.0230713,0.232727
5,22,-0.0216821,3.34173,-0.14613,529.828,820.693,-0.0280151,0.407043
5,23,-0.0216821,3.34173,-0.14613,525.144,977.688,-0.276367,0.559387
5,24,-0.0216821,3.34173,-0.14613,465.681,432.974,0.194946,0.128204
5,25,-0.0216821,3.34173,-0.14613,460.777,587.651,0.0720215,0.200928
5,26,-0.0216821,3.34173,-0.14613,455.881,743.108,-0.123291,0.273193
5,27,-0.0216821,3.34173,-0.14613,451.159,899.217,-0.224213,0.262024
6,0,-0.0211205,3.34394,-0.144175,1126.97,425.398,0.494263,-0.427948
6,1,-0.0211205,3.34394,-0.144175,1123.82,582.731,0.603149,-0.239075
6,2,-0.0211205,3.34394,-0.144175,1120.32,740.964,0.349731,0.0499878
6,3,-0.0211205,3.34394,-0.144175,1116.88,899.763,0.12854,0.152039
